"","Year","Month","PF","PV","cases","Population","prcp","tmean","tmin","tmax","source"
"77",1989,11,NA,NA,NA,NA,0.660000038146973,22.5,NA,NA,"cru"
"78",1989,11,NA,NA,NA,NA,2.00375178093259,22.2301125877481,NA,NA,"era5"
"79",1989,12,NA,NA,NA,NA,0.116129029181696,25.625,21.6700000762939,29.5799999237061,"terraclimate"
"80",1989,12,NA,NA,NA,NA,0.1482742832553,25.5158176422119,20.3558177947998,30.675817489624,"worldclim"
"81",1989,12,NA,NA,NA,NA,0.170967741935484,NA,21.94516129,NA,"station"
"82",1989,12,NA,NA,NA,NA,0.193548387096774,25.25,NA,NA,"chelsa"
"83",1989,12,NA,NA,NA,NA,0.364516135184997,22.2000007629395,NA,NA,"cru"
"84",1989,12,NA,NA,NA,NA,2.22850544515753,22.7786889312029,NA,NA,"era5"
"85",1990,1,4,53,57,157607,0.27741935483871,26.925,22.88,30.97,"station"
"86",1990,1,4,53,57,157607,1.2258064516129,25.75,22.95,28.55,"chelsa"
"87",1990,1,4,53,57,157607,1.36616540724231,26.6159658432006,21.5639667510986,31.6679649353027,"worldclim"
"88",1990,1,4,53,57,157607,1.5999999507781,26.7399997711181,22.75,30.7299995422363,"terraclimate"
"89",1990,1,4,53,57,157607,1.91935483870968,23.3999996185303,NA,NA,"cru"
"90",1990,1,4,53,57,157607,4.58841891951939,23.5933961773375,NA,NA,"era5"
"91",1990,2,1,51,52,157607,1.13103448275862,27.045,23.29,30.8,"station"
"92",1990,2,1,51,52,157607,2.10344827586207,26.05,23.85,28.25,"chelsa"
"93",1990,2,1,51,52,157607,3.35941183155981,26.9705963134765,21.9765968322754,31.9645957946777,"worldclim"
"94",1990,2,1,51,52,157607,3.48965506718076,27.0099992752075,23.2099990844727,30.8099994659424,"terraclimate"
"95",1990,2,1,51,52,157607,6.02068986563848,23,NA,NA,"cru"
"96",1990,2,1,51,52,157607,6.7480084757677,24.9633075480281,NA,NA,"era5"
"97",1990,3,3,52,55,157607,0.0935483870967742,27.43,23.38,31.48,"station"
"98",1990,3,3,52,55,157607,1.5243889593309,26.9113264083863,21.7533283233643,32.0693244934082,"worldclim"
"99",1990,3,3,52,55,157607,1.82903228267547,26.9849996566772,23.0499992370605,30.9200000762939,"terraclimate"
"100",1990,3,3,52,55,157607,1.90322580645161,26.45,24.05,28.85,"chelsa"
